"","t.test","welch.test","wilcox.test","f.test","kruskal.test","limma","rfe","rf","lasso","elasticnet","boosting","golub","shrinkcat","foldChange"
"VAV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.828403127220886
"CARD16",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0590235807698594
"FAM129A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.776440438861236
"GIMAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,-8.09154668683106
"HMG20B",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.546408457486371
"NT5DC1",0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0446779780426232
"ABHD3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.571448962127242
"S1PR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.23686740394274
"LAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.867594684105176
"LOC100505812",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0951223064875507
"TMLHE",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232886003177891
"ARL4C",0,0,0,0,0,0,0,0,0,0,0,0,0,5.83789177592057
"KRCC1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382698879117185
"CREB5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.535742797794657
"YES1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.26740144009343
"RNF149",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.927945869073298
"ZNF395",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406048705028642
"SIGLEC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0.478858148934097
"ACN9",0,0,0,0,0,0,0,0,0,0,0,0,0,3.4050770114808
"CLEC4D",0,0,0,0,0,0,0,0,0,0,0,0,0,0.352489806877181
"JARID2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246180771079619
"PKIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848918497218737
"HERC5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118102395502278
"SYNE1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399301173892499
"CXCL10",0,0,0,0,0,0,0,0,0,0,0,0,0,2.32778689681556
"RBM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536017709668225
"AP3M1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.52713794663082
"IGLC1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301820116951169
"TRIM5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.524527408479255
"FAM160B1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209879705498495
"CASP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461564730892991
"STK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373918081563906
"CDC73",0,0,0,0,0,0,0,0,0,0,0,0,0,2.12371586594469
"CR1",0,0,0,0,0,0,0,0,0,0,0,0,1,-0.457912513721983
"MARCKSL1",0,0,0,0,0,1,0,0,0,0,0,0,0,-0.648974874588813
"GAPT",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.638832386377127
"CLOCK",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98581294542182
"TNFSF10",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119709254888869
"CST1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311138714786544
"CPPED1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.386704660155422
"NDFIP2",0,0,0,0,0,0,0,0,0,0,0,0,0,-13.4612089741716
"PDCD2",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.92663749453283
"ASAP1-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.04562961603271
