"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"ADORA3",0.776219690501876,1,0.839580783552195,1,0.737331446830509,1,0.602517007922835,1,23.0850178359096,1,0.629583234737551,1,0.000124210598741472,1,0.000266278344081548,1,0,1,0,1,0,1,0.379276141808349,1,2.38311319843827,1
"ICOSLG",5.11263601731094,1,5.10424166393178,1,0.999209791260385,1,26.1390470455051,1,1.28444029216919,1,0.0438784552175003,1,6.67415036461938e-05,1,0,1,0,1,0,1,0,1,0.094460861911842,1,0.229861831761869,1
"RASAL3",4.77862475482835,1,4.73616100256783,1,0.999104122367825,1,22.8352545474583,1,10.8126380159674,1,1.17088565349223,1,0.000139948986116554,1,0,1,0,1,0,1,0,1,0.0584195241878879,1,1.70303909176416,1
"UBA3",0.657206587861323,0.508,0.0440436732722514,0.508,0.854919089431272,0.508,0.431920499128322,0.508,10.6037030745711,0.508,13.5397002723527,0,8.10596054317069e-05,1,0,1,0,1,0,1,0,1,0.0601015774419354,1,0.988615399240217,1
"IL18R1",0.0440061736068496,0,0.657643800925333,0,0.00631729907820866,0,0.00193654331551257,0,2.15661627314421,0,21.611344351597,0,5.85582193363986e-06,1,0,1,0,1,0,1,0,1,0.117791462550647,0,1.21001416854571,1
"DAD1",3.7567185873955,1,3.74009166005298,1,0.519562039630028,1,14.1129345448828,1,0.000254798709019872,1,6.4130661264081,1,0.000101939884544444,1,0.000295603138280484,1,0,1,0,1,0,1,0.498883713818491,1,0.299953214740381,1
"REL",5.56741674323972,0,2.50456012514278,0,0.825163910696468,0,30.9961291929059,0,0.515967385765246,0,13.4382246093887,0,9.31306826970056e-05,1,0,1,0,1,0,1,0,1,0.421020613512181,0,0.490627849710382,1
"TBC1D2B",2.50755233783295,0,5.57334871941346,0,0.999987333667676,0,6.28781872697152,0,1.86264226261254,0,12.087061289406,0,1.66522984489107e-05,1,-0.000173913043478261,1,0,1,0,1,0,1,0.460267614926985,1,0.379644008348919,1
"SMG1P5",4.1219608677196,1,4.08630480715974,1,0.725800736954512,0,16.9905613950117,1,1.21309665364362,0,0.00195307217288308,1,0.000235071781232443,1,-1.19047619047619e-05,1,0,1,0,1,0,1,0.133948074741756,1,0.0213646805713488,1
"DNAJB1",1.05935968588738,0,1.0530585625587,0,0.999303988144987,0,1.1222429440834,0,17.4904025819602,0,12.0699913463744,0,2.07603558959928e-05,1,8.69565217391304e-05,1,0,1,0,1,0,1,0.335155797727321,0,1.1989794699253,0
